Rank,Name,Company,Volume,Sides,City,State
240,Jennifer Wilson,Saunders & Associates,$116.10M,52,East Hampton,NY
241,Melanie Muss,Douglas Elliman,$116.02M,11.8,Aspen,CO
242,Jill Fusari,The Agency,$115.98M,48,Alamo,CA
243,Li Li,B Square Realty,$115.92M,109.5,Flushing,NY
244,Laura Brau,Compass,$115.84M,17,Los Angeles,CA
245,Rita Whitney,The Agency,$115.84M,29,Pasadena,CA
246,Yolanda Staff,HomeSmart Evergreen Realty,$115.69M,62,Irvine,CA
247,Kathy Koch Pitlake,Douglas Elliman,$115.59M,38,Boca Raton,FL
248,Erin Lail,Coldwell Banker Brokers of the Valley,$115.15M,29,St. Helena,CA
249,Darleen Lannon,William Raveis,$115.04M,53,Hingham,MA
250,Dan Gutfreund,Signature Sotheby's International Realty,$115.03M,67,Birmingham,MI
251,Christopher Burnside,Brown Harris Stevens,$114.60M,20,Bridgehampton,NY
252,Joanne Mancuso,Houlihan Lawrence,$114.23M,14,Greenwich,CT
253,Alex Wang,Rainmaker Real Estate,$114.09M,36,Los Altos,CA
254,Michael Warren,Compass,$113.96M,14,Woodside,CA
255,John C. Adams,Compass,$113.91M,44,Deephaven,MN
256,Hillary Ryan,"Sotheby's International Realty, Inc.",$113.74M,21,Saint Helena,CA
257,Paul Sudell,Ferguson Dechert Real Estate,$113.74M,35,Avalon,NJ
258,Xin Jiang,Compass,$113.10M,18,Palo Alto,CA
259,Chris Klug,Aspen Snowmass Sotheby's International Realty,$112.97M,12.5,Aspen,CO
260,Jody Lovell,Highlands Sotheby's International Realty,$112.94M,37.5,Highlands,NC
261,Jordan Mott,Intero Real Estate Services,$112.14M,57,San Jose,CA
262,Yansy Checa,Douglas Elliman,$111.38M,11,Miami,FL
263,Lucy Goldenshteyn,Redfin,$111.00M,50,Belmont,CA
264,Lisa Turchiarelli,Coldwell Banker Mason Morse,$110.92M,7,Aspen,CO
265,Ben Lee,The Agency,$110.70M,32,Beverly Hills,CA
266,Chris Maddox,Summit Sotheby's International Realty,$110.15M,29.5,Park City,UT
267,Katherine Swensen,HomeSmart,$109.73M,191,Greenwood Village,CO
268,Nancy Tassone,Jameson Sotheby's International Realty,$109.68M,36,Chicago,IL
269,Tracy Allen,Coldwell Banker Realty,$109.35M,28,Honolulu,HI
270,Donald Fedrigon,REMAX of Elk Rapids,$108.89M,88,Elk Rapids,MI
271,Therese Swan,VFlight Real Estate,$108.62M,48,San Jose,CA
272,Philip DeMatteo,First Team Real Estate,$108.23M,70.7,Seal Beach,CA
273,Jim Arbeed,Coldwell Banker Realty,$108.19M,16,Burlingame,CA
274,Kane Manera,Corcoran,$108.12M,14.5,New York,NY
275,Elizabeth DeWoody,Compass,$108.06M,31,Palm Beach,FL
276,Dania Perry,CENTURY 21 Jim White & Associates,$107.87M,67,Treasure Island,FL
277,Preston Gazowsky,The Beverly Hills Estates,$107.00M,4,West Hollywood,CA
278,Ginger Martin,"Sotheby's International Realty, Inc.",$106.95M,18,Saint Helena,CA
279,Julie Flouty,Compass,$106.34M,50,Burlingame,CA
280,Jeff Jackson,Corcoran Centric Realty,$106.26M,17,Greenwich,CT
281,Jonathan Vega,ONE Sotheby's International Realty,$106.15M,77.6,Coral Gables,FL
282,Julie Wyss,Keller Williams Bay Area Estates,$105.84M,55,Los Gatos,CA
283,John Beutler,CENTURY 21 Beutler & Associates,$105.70M,59.4,Coeur d'Alene,ID
284,Anne Lusk,Lusk & Associates Sotheby's International Realty,$105.61M,143.3,Lancaster,PA
285,Erin Mathews,Allie Beth Allman & Associates,$105.32M,21,Dallas,TX
286,Steven Moritz,"Sotheby's International Realty, Inc.",$105.25M,27,Los Angeles,CA
287,Andy Meunier,Coldwell Banker Realty,$105.06M,57,Cupertino,CA
288,Cari Cascio,Douglas Elliman,$104.95M,43,Fort Lauderdale,FL
289,Derek Kamm,Coldwell Banker Island Properties,$104.89M,38,Honolulu,HI
290,Viviane Wolak,ONE Sotheby's International Realty,$104.63M,8,Aventura,FL
291,Janet Wang,Corcoran,$104.57M,10,New York,NY
292,Larry Mastropieri,The Mastropieri Group,$104.51M,219,Boca Raton,FL
293,Janine Tienken,Houlihan Lawrence,$104.43M,34,Darien,CT
294,Martha Gundersen,Douglas Elliman,$104.42M,13,Bridgehampton,NY
295,Brad Brondyke,Jameson Sotheby's International Realty,$104.31M,90,Chicago,IL
296,Joseph Sabeh,Golden Gate Sotheby's International Realty,$104.15M,39,Fremont,CA
297,Denise Mosher,Coldwell Banker Realty,$104.10M,51.5,Weston,MA
298,Blair Miller,Wilson Associates Real Estate,$103.85M,131,Greenville,SC
299,Brahmananda Kataru,HomeSmart,$103.80M,141,Greenwood Village,CO
300,Melissa Goldstein Tucci,Coldwell Banker West,$103.61M,89.5,San Diego,CA
301,Julie Snyder,Summit Sotheby's International Realty,$103.55M,21,Park City,UT
302,Terry Sprague,Luxe Forbes Global Properties,$102.84M,34,Lake Oswego,OR
303,Kathryn Scarborough,Engel & Völkers Austin Westlake,$102.63M,37,Austin,TX
304,Julie Church,Houlihan Lawrence,$102.63M,27,Greenwich,CT
305,Stephanie Robinson,RealtySouth,$102.41M,75,Birmingham,AL
306,Valerie Mein,Coldwell Banker Realty,$102.24M,41.3,Los Gatos,CA
307,Randy Waller,W Real Estate,$101.74M,88.5,Santa Rosa,CA
308,Serena Zhang,SHÈ HOMES,$101.74M,35,San Jose,CA
309,Adi Livyatan,Rodeo Realty,$101.67M,20,Encino,CA
310,Mary Golding,Christie's International Real Estate Southern California,$101.67M,25,Corona Del Mar,CA
311,Amir Jawaherian,The Agency,$101.67M,15,Beverly Hills,CA
312,Haik Bokhchalian,JohnHart Real Estate,$101.32M,99,Burbank,CA
313,Michele Tesei,Houlihan Lawrence,$101.02M,8,Greenwich,CT
314,Holden Lau,Coldwell Banker Realty,$100.94M,112.6,Honolulu,HI
315,Kelly Horn,Berkshire Hathaway HomeServices Utah Properties,$100.60M,34,Park City,UT
316,Karen Van Arsdale,Premier Sotheby's International Realty,$100.42M,20,Naples,FL
317,PollyAnna Snyder,Engel & Völkers Bozeman,$100.19M,124.5,Bozeman,MT
318,Spencer Payson,The Beverly Hills Estates,$100.02M,33,West Hollywood,CA
319,Susan May,Corcoran HM Properties,$100.00M,50,Charlotte,NC
320,Samantha Curry,Douglas Elliman,$99.84M,16,Palm Beach,FL
321,Cyril Matz,Douglas Elliman,$99.39M,7,Miami,FL
322,Maureen Stapleton,Coldwell Banker Mason Morse,$99.35M,8,Aspen,CO
323,Annabel Taylor,Four Seasons Sotheby's International Realty,$98.87M,69.3,Hudson,NY
324,Janet Feinberg Schindler,"Sotheby's International Realty, Inc.",$98.81M,14,San Francisco,CA
325,Douglas Shanefield,Coldwell Banker Realty,$98.74M,113.7,Honolulu,HI
326,Brittanie Rockhill,Douglas Elliman,$98.64M,18,Aspen,CO
327,Daniel Xi,Coldwell Banker Realty,$98.41M,42,Cupertino,CA
328,Gary Winn,Maury People Sotheby's International Realty,$98.34M,10.2,Nantucket,MA
329,Jared Schwadron,Compass,$98.31M,16,Manhattan,NY
330,Cathy Taub,"Sotheby's International Realty, Inc.",$98.24M,19,New York,NY
331,Ryan Melcher,"Sotheby's International Realty, Inc.",$97.66M,35,Carmel,CA
332,Binkan Cinaroglu,Kuper Sotheby's International Realty,$97.65M,82.5,San Antonio,TX
333,Melanie Fink,Howard Hanna Allen Tate Real Estate,$97.54M,102,Seneca,SC
334,Paul Brennan,Douglas Elliman,$97.18M,10,Bridgehampton,NY
335,Daniel Tzinker,The Agency Florida LLC,$97.05M,45,Surfside,FL
336,John Shroyer,Golden Gate Sotheby's International Realty,$97.00M,37,San Carlos,CA
337,Philip Boroda,Coldwell Banker Realty,$96.94M,56.7,Sherman Oaks,CA
338,James Nay,The Real Brokerage Inc.,$96.93M,270,Midlothian,VA
339,David Kim,Compass,$96.83M,40,Mountain View,CA
340,Kimberly Lyn Pressman,Compass,$96.83M,7,New York,NY
341,Oliver Lloyd,Douglas Elliman,$96.78M,11,Miami,FL
342,Ranjani Ravi,eXp Realty,$96.73M,70,Kirkland,WA
343,Lori Joyal,Compass,$96.68M,48,Watch Hill,RI
344,Jessica Buchman,Corcoran,$96.58M,42,Brooklyn,NY
345,Carrie B. Goodman,"Sotheby's International Realty, Inc.",$96.58M,26,San Francisco,CA
346,Martin Conroy,Sailfish Point Realty,$96.08M,29,Stuart,FL
347,Kristen Routh-Silberman,Douglas Elliman,$96.05M,17.4,Las Vegas,NV
348,Angela Kessel,Houlihan Lawrence,$95.93M,40,Bedford,NY
349,Cheryl Southern,Coldwell Banker Realty,$95.90M,90,Hoboken,NJ
350,Susan Baldwin,Allie Beth Allman & Associates,$95.78M,46,Dallas,TX
351,Parsa Samii,Compass,$95.68M,31,Manhasset,NY
352,BJ Christianson,Berkshire Hathaway HomeServices Utah Properties,$95.21M,22,Park City,UT
353,Helena Zaludova,Compass,$95.20M,24,San Francisco,CA
354,Mark Griffin,The Bear's Club Sotheby's International Realty,$95.08M,4,Jupiter,FL
